"","country","year","sales"
"199","Norway",2019,142381
"200","Norway",2020,141412
"201","Norway",2021,176276
"202","Norway",2022,174329
"203","Norway",2023,126953
"204","Norway",2024,128687
"205","Pakistan",2019,162689
"206","Pakistan",2020,104387
"207","Pakistan",2021,198921
"208","Pakistan",2022,188318
"209","Pakistan",2023,58562
"210","Pakistan",2024,97417
"211","Peru",2019,115241
"212","Peru",2020,81496
"213","Peru",2021,111436
"214","Peru",2022,118915
"215","Peru",2023,116724
"216","Peru",2024,106411
"217","Philippines",2019,258555
"218","Philippines",2020,153833
"219","Philippines",2021,180642
"220","Philippines",2022,226403
"221","Philippines",2023,282507
"222","Philippines",2024,351565
"223","Poland",2019,555598
"224","Poland",2020,428347
"225","Poland",2021,446647
"226","Poland",2022,419749
"227","Poland",2023,475032
"228","Poland",2024,551568
"229","Portugal",2019,221799
"230","Portugal",2020,142414
"231","Portugal",2021,146637
"232","Portugal",2022,157076
"233","Portugal",2023,199623
"234","Portugal",2024,209715
"235","Puerto Rico",2019,82605
"236","Puerto Rico",2020,84033
"237","Puerto Rico",2021,85486
"238","Puerto Rico",2022,90911
"239","Puerto Rico",2023,96319
"240","Puerto Rico",2024,100817
"241","Romania",2019,159696
"242","Romania",2020,125004
"243","Romania",2021,119817
"244","Romania",2022,129328
"245","Romania",2023,143080
"246","Romania",2024,151105
"247","Russia",2019,1567743
"248","Russia",2020,1433956
"249","Russia",2021,1483444
"250","Russia",2022,629923
"251","Russia",2023,1049968
"252","Russia",2024,1550249
"253","Saudi Arabia",2019,460373
"254","Saudi Arabia",2020,387709
"255","Saudi Arabia",2021,475837
"256","Saudi Arabia",2022,519485
"257","Saudi Arabia",2023,645723
"258","Saudi Arabia",2024,705527
"259","Slovakia",2019,101568
"260","Slovakia",2020,76305
"261","Slovakia",2021,75700
"262","Slovakia",2022,78841
"263","Slovakia",2023,88003
"264","Slovakia",2024,93409
"265","South Africa",2019,355378
"266","South Africa",2020,246541
"267","South Africa",2021,304340
"268","South Africa",2022,363390
"269","South Africa",2023,347377
"270","South Africa",2024,351556
"271","South Korea",2019,1497035
"272","South Korea",2020,1618333
"273","South Korea",2021,1468873
"274","South Korea",2022,1420486
"275","South Korea",2023,1489363
"276","South Korea",2024,1439773
"277","Spain",2019,1258251
"278","Spain",2020,851222
"279","Spain",2021,859480
"280","Spain",2022,813376
"281","Spain",2023,949362
"282","Spain",2024,1016885
"283","Sweden",2019,356036
"284","Sweden",2020,292024
"285","Sweden",2021,301006
"286","Sweden",2022,288087
"287","Sweden",2023,289820
"288","Sweden",2024,269582
"289","Switzerland",2019,310050
"290","Switzerland",2020,236828
"291","Switzerland",2021,238481
"292","Switzerland",2022,225934
"293","Switzerland",2023,252214
"294","Switzerland",2024,239535
"295","Taiwan",2019,379999
"296","Taiwan",2020,408628
"297","Taiwan",2021,382000
"298","Taiwan",2022,375841
"299","Taiwan",2023,372800
"300","Taiwan",2024,376470
"301","Thailand",2019,468638
"302","Thailand",2020,343494
"303","Thailand",2021,312200
"304","Thailand",2022,343349
"305","Thailand",2023,406992
"306","Thailand",2024,340056
"307","Turkey",2019,387256
"308","Turkey",2020,610109
"309","Turkey",2021,561853
"310","Turkey",2022,592660
"311","Turkey",2023,967341
"312","Turkey",2024,980341
"313","Ukraine",2019,88437
"314","Ukraine",2020,85450
"315","Ukraine",2021,103262
"316","Ukraine",2022,37891
"317","Ukraine",2023,60862
"318","Ukraine",2024,69599
"319","United Arab Emirates",2019,198520
"320","United Arab Emirates",2020,129901
"321","United Arab Emirates",2021,156780
"322","United Arab Emirates",2022,171414
"323","United Arab Emirates",2023,225386
"324","United Arab Emirates",2024,268876
"325","United Kingdom",2019,2311140
"326","United Kingdom",2020,1631064
"327","United Kingdom",2021,1647181
"328","United Kingdom",2022,1614063
"329","United Kingdom",2023,1903054
"330","United Kingdom",2024,1952778
"331","United States Of America",2019,4719710
"332","United States Of America",2020,3401838
"333","United States Of America",2021,3350050
"334","United States Of America",2022,2858575
"335","United States Of America",2023,3116647
"336","United States Of America",2024,2984039
"337","Uzbekistan",2019,147827
"338","Uzbekistan",2020,146250
"339","Uzbekistan",2021,138377
"340","Uzbekistan",2022,153750
"341","Uzbekistan",2023,146456
"342","Uzbekistan",2024,166058
"343","Vietnam",2019,233782
"344","Vietnam",2020,217193
"345","Vietnam",2021,207693
"346","Vietnam",2022,283352
"347","Vietnam",2023,290071
"348","Vietnam",2024,291797
