"","track_id","track_artist","track_name","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","explicit","track_length","duration_min","mode_fct","key_fct","genre"
"4938","0C2IKahhw10OfVsb1QJbhG","Alfred Brendel","Sonata No. 8 in A Minor, K. 310 / Presto","0",0.346,0.21,9,-19.743,0,0.0397,0.991,0.897,0.081,0.661,100.504,184413,FALSE,3M 4.41300000000001S,3M 4S,"Minor","A"," classical"
"4939","0C2IKahhw10OfVsb1QJbhG","Alfred Brendel","Sonata No. 8 in A Minor, K. 310 / Presto","0",0.346,0.21,9,-19.743,0,0.0397,0.991,0.897,0.081,0.661,100.504,184413,FALSE,3M 4.41300000000001S,3M 4S,"Minor","A"," classical performance"
"4940","0C2IKahhw10OfVsb1QJbhG","Alfred Brendel","Sonata No. 8 in A Minor, K. 310 / Presto","0",0.346,0.21,9,-19.743,0,0.0397,0.991,0.897,0.081,0.661,100.504,184413,FALSE,3M 4.41300000000001S,3M 4S,"Minor","A"," classical piano"
"4941","7fBeUDK3akDG6TfxosGqgf","Glenn Wiggins","Sonnet 29","0",0.555,0.198,2,-14.743,1,0.0637,0.509,3.4e-05,0.281,0.144,135.413,177960,FALSE,2M 57.96S,2M 58S,"Major","D","uncategorised"
"4942","2dbvMHGv0aymwgTunH9CTU","Ocean Waves For Sleep","Soothing Ripple","0",0.173,0.0594,2,-28.643,0,0.0449,0.869,0.895,0.236,0.0399,113.758,192866,FALSE,3M 12.866S,3M 13S,"Minor","D","uncategorised"
"4943","48eVC6pbUcPVb6tdc0r3zB","Meditative Zen","Soothing Serenade","0",0.0668,0.0383,9,-28.813,1,0.0425,0.886,0.749,0.072,0.0374,72.883,145000,FALSE,2M 25S,2M 25S,"Major","A","uncategorised"
"4944","0yvs4tnN1ExwnfNbesu1wf","Piano Mood","Sorrento","0",0.42,0.028,3,-26.073,1,0.0898,0.99,0.945,0.103,0.142,134.887,197816,FALSE,3M 17.816S,3M 18S,"Major","D#/Eb","uncategorised"
"4945","4e9pzmFhlqPLVWF9vBDX6R","King Tut (Turn Up Tony)","Sorryns Favorite","0",0.874,0.591,10,-8.164,0,0.355,0.106,0,0.215,0.696,92.05,125806,TRUE,2M 5.806S,2M 6S,"Minor","A#/Bb","uncategorised"
"4946","5NPDDtBliFPDthWtl34vG5","Last Bronzeman","Soul Crypt","0",0.501,0.755,1,-5.581,0,0.324,0.283,0,0.0953,0.649,171.05,227410,TRUE,3M 47.41S,3M 47S,"Minor","C#/Db","uncategorised"
"4947","5eHZlYb0S4zolSyCdRNMTB","Bobby Timmons","Soul Time","0",0.596,0.327,7,-15.088,0,0.0556,0.766,0.776,0.155,0.766,101.764,382693,FALSE,6M 22.693S,6M 23S,"Minor","G","bebop"
"4948","5eHZlYb0S4zolSyCdRNMTB","Bobby Timmons","Soul Time","0",0.596,0.327,7,-15.088,0,0.0556,0.766,0.776,0.155,0.766,101.764,382693,FALSE,6M 22.693S,6M 23S,"Minor","G"," hard bop"
"4949","5eHZlYb0S4zolSyCdRNMTB","Bobby Timmons","Soul Time","0",0.596,0.327,7,-15.088,0,0.0556,0.766,0.776,0.155,0.766,101.764,382693,FALSE,6M 22.693S,6M 23S,"Minor","G"," jazz"
"4950","5eHZlYb0S4zolSyCdRNMTB","Bobby Timmons","Soul Time","0",0.596,0.327,7,-15.088,0,0.0556,0.766,0.776,0.155,0.766,101.764,382693,FALSE,6M 22.693S,6M 23S,"Minor","G"," jazz piano"
